source_row	uniprot_A	uniprot_B	label	a_length	b_length	reason
1683	O23290	Q8S3N1	negative	105		sequence_missing_B
1684	O23298	Q8RX29	negative	158		sequence_missing_B
1688	O23409	O64798	negative		389	sequence_missing_A
1689	O23489	O82290	negative		387	sequence_missing_A
1691	O23530	Q8GYN5	negative	1437	211	sequence_A_exceeds_max_length
1696	O23694	O64511-1	negative	166		sequence_missing_B
1704	O48686	P84634	negative	1330	1702	sequence_A_and_B_exceed_max_length
1723	O49538	Q9FHN8	negative	374	1260	sequence_B_exceeds_max_length
1724	O49552	Q9C899	negative	1088	361	sequence_A_exceeds_max_length
1728	O49660	Q8RUS5	negative	491		sequence_missing_B
1732	O49724	Q9ZT50	negative		155	sequence_missing_A
1733	O49839	Q8LF48	negative	426		sequence_missing_B
1734	O49839	Q8LPQ9	negative	426		sequence_missing_B
1735	O50068	Q9M345	negative		677	sequence_missing_A
1739	O64503	Q8S3D2	negative	332		sequence_missing_B
1747	O64778	Q8LDK3	negative	807		sequence_missing_B
1750	O64816	Q8LGH4-PRO_0000396851	negative	432		sequence_missing_B
1757	O65440-2	Q8S9K8	negative		275	sequence_missing_A
1758	O65440-2	Q94C65	negative		221	sequence_missing_A
1759	O65440-2	Q9M886	negative		263	sequence_missing_A
1763	O65523	Q1PEY6	negative		156	sequence_missing_A
1764	O65539	Q9C9Y8	negative		640	sequence_missing_A
1765	O65539	Q9SYM5	negative		669	sequence_missing_A
1771	O65782	Q38836-2	negative	499		sequence_missing_B
1790	O80626	Q8RXK1	negative	123		sequence_missing_B
1799	O80722	Q8LG92	negative	588		sequence_missing_B
1813	O80917	Q93YQ1	negative	244	1344	sequence_B_exceeds_max_length
1823	O81283	Q8RY59	negative	1503		sequence_missing_B
1835	O81752	P59232	negative		157	sequence_missing_A
1843	O82197	Q9M8Y2	negative	213		sequence_missing_B
1846	O82286-2	Q9LJ50	negative		440	sequence_missing_A
1849	O82345	Q9FXG6	negative	1043	444	sequence_A_exceeds_max_length
1850	O82345	Q9SYK4	negative	1043	1136	sequence_A_and_B_exceed_max_length
1852	O82491	Q9SSP5	negative	1074	516	sequence_A_exceeds_max_length
1853	O82491	Q9SZI2	negative	1074	372	sequence_A_exceeds_max_length
1859	O82633	Q9M2H8	negative		307	sequence_missing_A
1866	P05466	Q9LSH4	negative	520	1149	sequence_B_exceeds_max_length
1868	P0C7Q8	Q8RWA5	negative	532		sequence_missing_B
1870	P0C8R0	Q8LPN3	negative	546		sequence_missing_B
1876	P14712	Q9C933	negative	1122	366	sequence_A_exceeds_max_length
1877	P14714	Q9XEC3	negative	1111	528	sequence_A_exceeds_max_length
1882	P22738	Q9FNZ1-2	negative	390		sequence_missing_B
1885	P24704	Q8LPL5	negative	152		sequence_missing_B
1893	P28297	Q9M0B0	negative	576		sequence_missing_B
1896	P29383-3	Q9SCP2	negative		483	sequence_missing_A
1901	P30186	Q94AI7	negative	250	1131	sequence_B_exceeds_max_length
1905	P34791	Q8RY60	negative	260		sequence_missing_B
1917	P41376	Q9SYP1	negative	412	2171	sequence_B_exceeds_max_length
1922	P42776	Q8RY84	negative	382		sequence_missing_B
1926	P42825	Q8RWG8	negative	419		sequence_missing_B
1944	P48785	Q9M089	negative	796		sequence_missing_B
1949	P51568	Q8RXL8	negative	400		sequence_missing_B
1959	P56764	Q93YP9	negative	1376	488	sequence_A_exceeds_max_length
1960	P56764	Q9FLA1	negative	1376	436	sequence_A_exceeds_max_length
1966	P56785	Q9FYD1	negative	1786	551	sequence_A_exceeds_max_length
1971	P59227	Q9LSX7	negative		283	sequence_missing_A
1972	P59229	Q9S814	negative	166	1294	sequence_B_exceeds_max_length
1974	P59263	Q9M5A9	negative		388	sequence_missing_A
1978	P68349	Q8RWF5	negative	260		sequence_missing_B
1999	P93822	Q9LUG9	negative	133	1309	sequence_B_exceeds_max_length
2012	Q08A69	Q8RY99	negative	412		sequence_missing_B
2020	Q0WLS8	Q84VW0	negative	1377	123	sequence_A_exceeds_max_length
2022	Q0WM93	Q9M085	negative	1265	412	sequence_A_exceeds_max_length
2026	Q0WR59	Q9M111	negative	1048	809	sequence_A_exceeds_max_length
2041	Q1EBV6	Q9FXG8-1	negative	410		sequence_missing_B
2067	Q2LAE1	Q3E7N5	negative	1759	126	sequence_A_exceeds_max_length
2068	Q2LAE1	Q8GWL1	negative	1759	286	sequence_A_exceeds_max_length
2071	Q2V3H2	Q8RWD9	negative	390		sequence_missing_B
2079	Q38826-1	Q9MAH8	negative		391	sequence_missing_A
2093	Q38935	Q8RXW0	negative	153		sequence_missing_B
2096	Q38970	Q8GYQ9	negative	2254	453	sequence_A_exceeds_max_length
2097	Q38997	Q9FXF2-2	negative	512		sequence_missing_B
2101	Q39041	Q8S397	negative	664		sequence_missing_B
2108	Q39142	Q8RWA2	negative	266		sequence_missing_B
2109	Q39161	Q8RY08	negative	586		sequence_missing_B
2119	Q39262	Q8VYW7	negative	235	1180	sequence_B_exceeds_max_length
2120	Q3E7I5	Q9SV15-2	negative	788		sequence_missing_B
2124	Q3EAF9-2	Q9STR4	negative		447	sequence_missing_A
2125	Q3EAV6	Q8RWV3	negative	111		sequence_missing_B
2127	Q3EBC8	Q9SJ67	negative	1388	189	sequence_A_exceeds_max_length
2143	Q42093	Q8RWD9	negative	1623		sequence_missing_B
2148	Q42396	Q8L5R3	negative	490	1254	sequence_B_exceeds_max_length
2152	Q42601	Q9LTM0	negative	1187	501	sequence_A_exceeds_max_length
2180	Q5S2C4	Q9SGV6	negative	1425	334	sequence_A_exceeds_max_length
2186	Q5XPJ6	Q9LTI0	negative	1170	396	sequence_A_exceeds_max_length
2187	Q5XPJ9	Q9C508	negative	1399	390	sequence_A_exceeds_max_length
2188	Q5XPJ9	Q9FMX0	negative	1399	263	sequence_A_exceeds_max_length
2204	Q6IDL4	Q9ASQ6-3	negative	217		sequence_missing_B
2209	Q6NLQ6	Q8RX71	negative	538		sequence_missing_B
2236	Q7XYY2-1	Q9LT56	negative		356	sequence_missing_A
2246	Q84LG2	Q8RWW1	negative	389		sequence_missing_B
2252	Q84R15	Q84TK3	negative	1196	152	sequence_A_exceeds_max_length
2254	Q84TD4	U5LV24	negative	275		sequence_missing_B
2255	Q84TD6	Q9LJD8	negative	359	1368	sequence_B_exceeds_max_length
2257	Q84VW3	Q8RXL7	negative	204		sequence_missing_B
2263	Q84WU2	Q9FYE6	negative	1115	240	sequence_A_exceeds_max_length
2266	Q84XF3	Q9FVC1-2	negative	610		sequence_missing_B
2291	Q8GY25	Q8RY37	negative	268		sequence_missing_B
2298	Q8GYU3	Q9FFJ0	negative	1465	130	sequence_A_exceeds_max_length
2304	Q8H133	Q9M089	negative	525		sequence_missing_B
2321	Q8L586	Q8RXF8	negative	287		sequence_missing_B
2324	Q8L5Y4	Q93V43	negative	1509	365	sequence_A_exceeds_max_length
2327	Q8L736	Q8LPI7	negative	467		sequence_missing_B
2329	Q8L736	Q9M658	negative	467	2001	sequence_B_exceeds_max_length
2334	Q8L7G0	Q8LG64	negative	665		sequence_missing_B
2335	Q8L7G2	Q9SXZ2-2	negative	171		sequence_missing_B
2342	Q8L7Y8	Q9FYC2	negative	1313	537	sequence_A_exceeds_max_length
2360	Q8LB88	Q8LG92	negative	433		sequence_missing_B
2368	Q8LCY3	Q9FN37	negative	106	1036	sequence_B_exceeds_max_length
2370	Q8LE43	Q8VXV7	negative		844	sequence_missing_A
2371	Q8LE94	Q9FGL2	negative		250	sequence_missing_A
2372	Q8LEB2	Q94BR1	negative		702	sequence_missing_A
2373	Q8LEB2	Q9SV09	negative		540	sequence_missing_A
2374	Q8LEM7	Q8VYQ4	negative		348	sequence_missing_A
2375	Q8LF21	Q9LJ45	negative		210	sequence_missing_A
2376	Q8LF80	Q94C27	negative		351	sequence_missing_A
2377	Q8LFJ6	Q9SDS7	negative		375	sequence_missing_A
2378	Q8LFT2	Q9M2D2	negative		410	sequence_missing_A
2379	Q8LFV3	Q9SD45	negative		323	sequence_missing_A
2380	Q8LFV3	Q9ZWC8	negative		1166	sequence_missing_A
2381	Q8LGC6	Q9FG94	negative		331	sequence_missing_A
2382	Q8LGI3	Q9LJ44	negative		364	sequence_missing_A
2383	Q8LJT8	Q9SIF2	negative		780	sequence_missing_A
2384	Q8LPF0	Q9MAM1-4	negative			sequence_missing_A_and_B
2385	Q8LPH6	Q9C6C8	negative		254	sequence_missing_A
2386	Q8LPH6	Q9CAD1	negative		534	sequence_missing_A
2387	Q8LPJ4	Q94BN0	negative		364	sequence_missing_A
2388	Q8LPL5	Q94BY2	negative		146	sequence_missing_A
2389	Q8LPS5	Q9LJD8	negative		1368	sequence_missing_A
2390	Q8LSZ4	Q9LEV3	negative		206	sequence_missing_A
2391	Q8RVL2	Q9FVI6	negative		686	sequence_missing_A
2392	Q8RWA2	Q9FPJ4	negative		202	sequence_missing_A
2393	Q8RWF0	Q9CAT5	negative		314	sequence_missing_A
2394	Q8RWK8	Q9FWW2	negative		483	sequence_missing_A
2395	Q8RWL4	Q9C5C8	negative		202	sequence_missing_A
2396	Q8RWQ1	Q9FF99	negative		467	sequence_missing_A
2397	Q8RWQ8	Q945P6	negative		245	sequence_missing_A
2398	Q8RWV0	Q9LXG8	negative		548	sequence_missing_A
2399	Q8RWV3	Q9C6B8	negative		622	sequence_missing_A
2400	Q8RWV8	Q9M2H8	negative		307	sequence_missing_A
2401	Q8RWV9	Q9C9F0	negative		374	sequence_missing_A
2402	Q8RWY7	Q9ZW19	negative		271	sequence_missing_A
2403	Q8RWZ1	Q940V1	negative		447	sequence_missing_A
2404	Q8RWZ3	Q8RY18	negative			sequence_missing_A_and_B
2405	Q8RWZ6	Q9LPZ9	negative		830	sequence_missing_A
2406	Q8RXD5	Q9SR34	negative		172	sequence_missing_A
2407	Q8RXD7	Q9LMC7	negative		285	sequence_missing_A
2408	Q8RXE5	Q9LVW0	negative		401	sequence_missing_A
2409	Q8RXG3	Q9LIQ6	negative		234	sequence_missing_A
2410	Q8RXL7	Q9SIZ5	negative		410	sequence_missing_A
2411	Q8RXM5	Q9FKD7	negative		286	sequence_missing_A
2412	Q8RXN6	Q9LTI0	negative		396	sequence_missing_A
2413	Q8RXT8	Q9CAF6	negative		950	sequence_missing_A
2414	Q8RXY4	Q9C5Q2	negative		262	sequence_missing_A
2415	Q8RY17	Q9FFR5	negative		117	sequence_missing_A
2416	Q8RY60	Q8VZK4	negative		185	sequence_missing_A
2417	Q8RY65	Q9SIV0	negative		462	sequence_missing_A
2418	Q8RY74	Q9SCK0	negative		603	sequence_missing_A
2419	Q8RY84	Q9C6M0	negative		483	sequence_missing_A
2420	Q8RYD3	Q9SIL6	negative		286	sequence_missing_A
2421	Q8RYD9	Q9S763	negative		147	sequence_missing_A
2422	Q8RYE2	Q9XFR5	negative		268	sequence_missing_A
2423	Q8S2T0	Q9LRJ9	negative		252	sequence_missing_A
2453	Q8W2F2-2	Q9FJ90	negative		232	sequence_missing_A
2478	Q93ZB1-2	Q9ZPX9	negative		135	sequence_missing_A
2483	Q93ZV8	Q9SV15-2	negative	605		sequence_missing_B
2498	Q945K9	Q9S814	negative	247	1294	sequence_B_exceeds_max_length
2531	Q94CK9-3	Q9SUH1	negative		214	sequence_missing_A
2534	Q94FB9	Q9M2U8	negative	1337	296	sequence_A_exceeds_max_length
2551	Q9ASQ6-3	Q9S818	negative		358	sequence_missing_A
2561	Q9C5G2	Q9ZPW3-2	negative	423		sequence_missing_B
2573	Q9C7S5	Q9SUN5	negative	1095	257	sequence_A_exceeds_max_length
2578	Q9C836	Q9SHI2	negative	178	1101	sequence_B_exceeds_max_length
2621	Q9FFT6	Q9LQ02	negative	112	1453	sequence_B_exceeds_max_length
2631	Q9FGR0	Q9LYU5	negative	1442	370	sequence_A_exceeds_max_length
2632	Q9FGS5	Q9LTT8	negative	210	1344	sequence_B_exceeds_max_length
2639	Q9FH13	Q9SVQ5	negative	166		sequence_missing_B
2640	Q9FH18-1	Q9LPT1	negative		686	sequence_missing_A
2657	Q9FJL3	Q9SP32	negative	578	1909	sequence_B_exceeds_max_length
2687	Q9FNZ1-2	Q9LIF6	negative		188	sequence_missing_A
2698	Q9FVT5	Q9T097	negative	362		sequence_missing_B
2707	Q9LD60	Q9LDM5	negative		666	sequence_missing_A
2737	Q9LJF3	Q9SXS2	negative	1164	631	sequence_A_exceeds_max_length
2742	Q9LK40	Q9SX27	negative	1172	452	sequence_A_exceeds_max_length
2759	Q9LRR4	Q9M2B3	negative	1054	341	sequence_A_exceeds_max_length
2771	Q9LU77	Q9LUG9	negative	647	1309	sequence_B_exceeds_max_length
2780	Q9LVN7	Q9SMX3	negative	1095	274	sequence_A_exceeds_max_length
2781	Q9LVN7	Q9SS37	negative	1095	247	sequence_A_exceeds_max_length
2801	Q9M591	Q9M5P7	negative	409		sequence_missing_B
2828	Q9SI54	Q9XIJ3	negative	99		sequence_missing_B
2835	Q9SL90	Q9SNA3	negative	2464	889	sequence_A_exceeds_max_length
2838	Q9SR34	Q9SXL4	negative	172	1207	sequence_B_exceeds_max_length
