protein_id	sequence_length	status	reason
Q39083	206	eligible	within_max_length
Q39090	442	eligible	within_max_length
Q39128	677	eligible	within_max_length
Q39132	155	eligible	within_max_length
Q39140	330	eligible	within_max_length
Q39142	266	eligible	within_max_length
Q39160	1520	excluded_length	sequence_exceeds_max_length
Q39161	586	eligible	within_max_length
Q39162	364	eligible	within_max_length
Q39163	330	eligible	within_max_length
Q39173	343	eligible	within_max_length
Q39183	586	eligible	within_max_length
Q39190	479	eligible	within_max_length
Q39191	735	eligible	within_max_length
Q39192	362	eligible	within_max_length
Q39193	361	eligible	within_max_length
Q39194	133	eligible	within_max_length
Q39204	623	eligible	within_max_length
Q39211	319	eligible	within_max_length
Q39212	319	eligible	within_max_length
Q39216	385	eligible	within_max_length
Q39218	391	eligible	within_max_length
Q39221	393	eligible	within_max_length
Q39233	279	eligible	within_max_length
Q39241	118	eligible	within_max_length
Q39254	441	eligible	within_max_length
Q39255	160	eligible	within_max_length
Q39262	235	eligible	within_max_length
Q3E7I5	788	eligible	within_max_length
Q3E7N5	126	eligible	within_max_length
Q3E875	376	eligible	within_max_length
Q3E8H4	73	eligible	within_max_length
Q3E922	156	eligible	within_max_length
Q3E958	189	eligible	within_max_length
Q3E9B8	624	eligible	within_max_length
Q3E9X6	690	eligible	within_max_length
Q3EAV6	111	eligible	within_max_length
Q3EB02	128	eligible	within_max_length
Q3EBC8	1388	excluded_length	sequence_exceeds_max_length
Q3EBD3	505	eligible	within_max_length
Q3EBQ3	807	eligible	within_max_length
Q3EC11	536	eligible	within_max_length
Q3EC60	312	eligible	within_max_length
Q3EC92	62	eligible	within_max_length
Q3ECB8	467	eligible	within_max_length
Q3ECS5	116	eligible	within_max_length
Q3MK94	428	eligible	within_max_length
Q3YL57	756	eligible	within_max_length
Q41906	125	eligible	within_max_length
Q41931	320	eligible	within_max_length
Q41932	230	eligible	within_max_length
Q41951	250	eligible	within_max_length
Q41969	268	eligible	within_max_length
Q42029	263	eligible	within_max_length
Q42093	1623	excluded_length	sequence_exceeds_max_length
Q42290	531	eligible	within_max_length
Q42328	89	eligible	within_max_length
Q42338	88	eligible	within_max_length
Q42344	138	eligible	within_max_length
Q42347	164	eligible	within_max_length
Q42381	403	eligible	within_max_length
Q42384	486	eligible	within_max_length
Q42396	490	eligible	within_max_length
Q42404	427	eligible	within_max_length
Q42479	529	eligible	within_max_length
Q42533	280	eligible	within_max_length
Q42545	433	eligible	within_max_length
Q42565	276	eligible	within_max_length
Q42580	327	eligible	within_max_length
Q42581	403	eligible	within_max_length
Q42583	400	eligible	within_max_length
Q42588	314	eligible	within_max_length
Q42593	426	eligible	within_max_length
Q42601	1187	excluded_length	sequence_exceeds_max_length
Q42602	506	eligible	within_max_length
Q42605	351	eligible	within_max_length
Q43125	681	eligible	within_max_length
Q43127	430	eligible	within_max_length
Q43295	276	eligible	within_max_length
Q43386	204	eligible	within_max_length
Q43725	430	eligible	within_max_length
Q43870	476	eligible	within_max_length
Q4FE47	462	eligible	within_max_length
Q4PL95	276	eligible	within_max_length
Q4PSE2	187	eligible	within_max_length
Q4PSE3	120	eligible	within_max_length
Q4PSU4	264	eligible	within_max_length
Q4V3B8	540	eligible	within_max_length
Q4VP08	90	eligible	within_max_length
Q500U8	326	eligible	within_max_length
Q500V6	534	eligible	within_max_length
Q500X1	241	eligible	within_max_length
Q501B2	409	eligible	within_max_length
Q501F9	370	eligible	within_max_length
Q56WM6	576	eligible	within_max_length
Q56X95	355	eligible	within_max_length
Q56XE4	207	eligible	within_max_length
Q56XU4	413	eligible	within_max_length
Q56XY2	298	eligible	within_max_length
Q56Y52	467	eligible	within_max_length
Q56YA5	401	eligible	within_max_length
Q56YW9	450	eligible	within_max_length
Q56Z59	490	eligible	within_max_length
Q56ZZ7	546	eligible	within_max_length
Q570C0	594	eligible	within_max_length
Q58G47	310	eligible	within_max_length
Q5BPT7	291	eligible	within_max_length
Q5HZ36	398	eligible	within_max_length
Q5HZ38	407	eligible	within_max_length
Q5ICL9	574	eligible	within_max_length
Q5M731	522	eligible	within_max_length
Q5PNT1	375	eligible	within_max_length
Q5PP28	394	eligible	within_max_length
Q5PP38	470	eligible	within_max_length
Q5S2C3	1282	excluded_length	sequence_exceeds_max_length
Q5S2C4	1425	excluded_length	sequence_exceeds_max_length
Q5UBY2	687	eligible	within_max_length
Q5W7F2	827	eligible	within_max_length
Q5XEV4	345	eligible	within_max_length
Q5XEV6	308	eligible	within_max_length
Q5XEZ5	771	eligible	within_max_length
Q5XF32	409	eligible	within_max_length
Q5XF35	408	eligible	within_max_length
Q5XPJ6	1170	excluded_length	sequence_exceeds_max_length
Q5XPJ9	1399	excluded_length	sequence_exceeds_max_length
Q5XV52	526	eligible	within_max_length
Q5XXE7	246	eligible	within_max_length
Q5XXJ3	248	eligible	within_max_length
Q5XXL4	250	eligible	within_max_length
Q5XXN8	251	eligible	within_max_length
Q5YGP7	568	eligible	within_max_length
Q645J1	170	eligible	within_max_length
Q67XJ2	176	eligible	within_max_length
Q67XQ1	157	eligible	within_max_length
Q67XT7	189	eligible	within_max_length
Q67XX3	502	eligible	within_max_length
Q67Y93	191	eligible	within_max_length
Q67YI6	411	eligible	within_max_length
Q67ZB3	558	eligible	within_max_length
Q67ZF6	224	eligible	within_max_length
Q681Q7	272	eligible	within_max_length
Q682T9	149	eligible	within_max_length
Q682V0	264	eligible	within_max_length
Q683D5	400	eligible	within_max_length
Q6AWS7	251	eligible	within_max_length
Q6AWX6	821	eligible	within_max_length
Q6BDA0	1340	excluded_length	sequence_exceeds_max_length
Q6DBF6	165	eligible	within_max_length
Q6DSS2	174	eligible	within_max_length
Q6E248	76	eligible	within_max_length
Q6EVK6	2193	excluded_length	sequence_exceeds_max_length
Q6ID77	115	eligible	within_max_length
Q6IDL4	217	eligible	within_max_length
Q6IDS6	323	eligible	within_max_length
Q6J9Q2	348	eligible	within_max_length
Q6LA43	535	eligible	within_max_length
Q6NKS4	258	eligible	within_max_length
Q6NLB0	237	eligible	within_max_length
Q6NLB7	150	eligible	within_max_length
Q6NLE5	187	eligible	within_max_length
Q6NLQ6	538	eligible	within_max_length
Q6NM15	162	eligible	within_max_length
Q6NM17	345	eligible	within_max_length
Q6NM52	187	eligible	within_max_length
Q6NMB6	344	eligible	within_max_length
Q6NNH1	387	eligible	within_max_length
Q6NNI3	190	eligible	within_max_length
Q6NNI6	204	eligible	within_max_length
Q6NNP0	509	eligible	within_max_length
Q6NPD8	201	eligible	within_max_length
Q6NPE4	292	eligible	within_max_length
Q6NPE9	246	eligible	within_max_length
Q6NPF4	219	eligible	within_max_length
Q6NPF9	172	eligible	within_max_length
Q6NPM7	163	eligible	within_max_length
Q6NQ88	557	eligible	within_max_length
Q6NQA8	488	eligible	within_max_length
Q6NQD9	207	eligible	within_max_length
Q6NQJ7	732	eligible	within_max_length
Q6R0A6	294	eligible	within_max_length
Q6R0C4	249	eligible	within_max_length
Q6R0E4	390	eligible	within_max_length
Q6R0H1	645	eligible	within_max_length
Q6S591	253	eligible	within_max_length
Q6S592	207	eligible	within_max_length
Q6S799	195	eligible	within_max_length
Q6TLJ2	176	eligible	within_max_length
Q6X7K0	350	eligible	within_max_length
Q6XAT2	967	eligible	within_max_length
Q6XL73	414	eligible	within_max_length
Q700D2	503	eligible	within_max_length
Q700E3	263	eligible	within_max_length
Q700E4	358	eligible	within_max_length
Q70E96	484	eligible	within_max_length
Q710E8	809	eligible	within_max_length
Q75QN6	929	eligible	within_max_length
Q7DLR9	246	eligible	within_max_length
Q7DMA9	635	eligible	within_max_length
Q7FRS8	256	eligible	within_max_length
Q7G8T1	398	eligible	within_max_length
Q7G8V2	206	eligible	within_max_length
Q7X659	787	eligible	within_max_length
Q7X6T3	188	eligible	within_max_length
Q7X7A9	312	eligible	within_max_length
Q7X887	256	eligible	within_max_length
Q7X9H6	249	eligible	within_max_length
Q7X9H9	289	eligible	within_max_length
Q7X9N2	287	eligible	within_max_length
Q7X9V2	2055	excluded_length	sequence_exceeds_max_length
Q7XA88	259	eligible	within_max_length
Q7XJ62	101	eligible	within_max_length
Q7XJK7	218	eligible	within_max_length
Q7XJK8	278	eligible	within_max_length
Q7XJL1	223	eligible	within_max_length
Q7XJU2	149	eligible	within_max_length
Q7Y1C4	1155	excluded_length	sequence_exceeds_max_length
Q7Y1C5	1151	excluded_length	sequence_exceeds_max_length
Q7Y1Z8	518	eligible	within_max_length
Q7Y224	399	eligible	within_max_length
Q84J71	463	eligible	within_max_length
Q84JC2	232	eligible	within_max_length
Q84JF0	310	eligible	within_max_length
Q84JF2	236	eligible	within_max_length
Q84JG2	469	eligible	within_max_length
Q84JH2	458	eligible	within_max_length
Q84JI2	138	eligible	within_max_length
Q84JJ0	250	eligible	within_max_length
Q84JP1	190	eligible	within_max_length
Q84JQ4	647	eligible	within_max_length
Q84JR3	492	eligible	within_max_length
Q84JS6	327	eligible	within_max_length
Q84JU4	257	eligible	within_max_length
Q84JU6	927	eligible	within_max_length
Q84JY3	238	eligible	within_max_length
Q84K05	189	eligible	within_max_length
Q84K71	521	eligible	within_max_length
Q84K84	201	eligible	within_max_length
Q84KJ5	569	eligible	within_max_length
Q84L30	378	eligible	within_max_length
Q84L31	419	eligible	within_max_length
Q84L32	368	eligible	within_max_length
Q84L33	371	eligible	within_max_length
Q84LG2	389	eligible	within_max_length
Q84LH3	288	eligible	within_max_length
Q84LH8	444	eligible	within_max_length
Q84M91	444	eligible	within_max_length
Q84MB2	361	eligible	within_max_length
Q84MC7	187	eligible	within_max_length
Q84MD6	257	eligible	within_max_length
Q84MD8	379	eligible	within_max_length
Q84ME1	378	eligible	within_max_length
Q84N34	358	eligible	within_max_length
Q84P25	565	eligible	within_max_length
Q84R09	233	eligible	within_max_length
Q84R15	1196	excluded_length	sequence_exceeds_max_length
Q84RD1	112	eligible	within_max_length
Q84TD4	275	eligible	within_max_length
Q84TD6	359	eligible	within_max_length
Q84TF4	150	eligible	within_max_length
Q84TF7	104	eligible	within_max_length
Q84TK1	458	eligible	within_max_length
Q84TK3	152	eligible	within_max_length
Q84VQ1	283	eligible	within_max_length
Q84VW0	123	eligible	within_max_length
Q84VW3	204	eligible	within_max_length
Q84VW5	151	eligible	within_max_length
Q84VX3	626	eligible	within_max_length
Q84W01	121	eligible	within_max_length
Q84W04	137	eligible	within_max_length
Q84W40	404	eligible	within_max_length
Q84W66	234	eligible	within_max_length
Q84W89	633	eligible	within_max_length
Q84WC8	374	eligible	within_max_length
Q84WG0	545	eligible	within_max_length
Q84WP6	365	eligible	within_max_length
Q84WU2	1115	excluded_length	sequence_exceeds_max_length
Q84WU9	596	eligible	within_max_length
Q84WV6	635	eligible	within_max_length
Q84WW1	422	eligible	within_max_length
Q84XF3	610	eligible	within_max_length
Q8GRT9	263	eligible	within_max_length
Q8GRU8	526	eligible	within_max_length
Q8GTS1	227	eligible	within_max_length
Q8GUK8	469	eligible	within_max_length
Q8GUM1	714	eligible	within_max_length
Q8GUN5	413	eligible	within_max_length
Q8GUP1	734	eligible	within_max_length
Q8GUU3	613	eligible	within_max_length
Q8GV05	106	eligible	within_max_length
Q8GW19	311	eligible	within_max_length
Q8GW31	373	eligible	within_max_length
Q8GW49	116	eligible	within_max_length
Q8GW77	347	eligible	within_max_length
Q8GWB3	281	eligible	within_max_length
Q8GWC7	102	eligible	within_max_length
Q8GWD1	170	eligible	within_max_length
Q8GWE1	234	eligible	within_max_length
Q8GWE6	413	eligible	within_max_length
Q8GWF1	289	eligible	within_max_length
Q8GWI7	315	eligible	within_max_length
Q8GWJ6	119	eligible	within_max_length
Q8GWJ7	645	eligible	within_max_length
Q8GWK2	428	eligible	within_max_length
Q8GWL1	286	eligible	within_max_length
Q8GWM8	87	eligible	within_max_length
Q8GWQ6	232	eligible	within_max_length
Q8GWR2	241	eligible	within_max_length
Q8GWT9	63	eligible	within_max_length
Q8GWU7	94	eligible	within_max_length
Q8GWV6	165	eligible	within_max_length
Q8GWW6	342	eligible	within_max_length
Q8GX26	371	eligible	within_max_length
Q8GX78	541	eligible	within_max_length
Q8GXA4	489	eligible	within_max_length
Q8GXD2	175	eligible	within_max_length
Q8GXD9	644	eligible	within_max_length
Q8GXE6	888	eligible	within_max_length
Q8GXN6	219	eligible	within_max_length
Q8GXN7	298	eligible	within_max_length
Q8GXP4	436	eligible	within_max_length
Q8GXT3	454	eligible	within_max_length
Q8GXW1	547	eligible	within_max_length
Q8GXW6	482	eligible	within_max_length
Q8GXX7	397	eligible	within_max_length
Q8GXZ7	78	eligible	within_max_length
Q8GY11	109	eligible	within_max_length
Q8GY12	231	eligible	within_max_length
Q8GY25	268	eligible	within_max_length
Q8GY55	315	eligible	within_max_length
Q8GY61	335	eligible	within_max_length
Q8GY79	393	eligible	within_max_length
Q8GY88	300	eligible	within_max_length
Q8GYA2	278	eligible	within_max_length
Q8GYA4	669	eligible	within_max_length
Q8GYD2	230	eligible	within_max_length
Q8GYF5	622	eligible	within_max_length
Q8GYG0	376	eligible	within_max_length
Q8GYK6	337	eligible	within_max_length
Q8GYN0	146	eligible	within_max_length
Q8GYN2	99	eligible	within_max_length
Q8GYN5	211	eligible	within_max_length
Q8GYP4	479	eligible	within_max_length
Q8GYQ5	372	eligible	within_max_length
Q8GYQ9	453	eligible	within_max_length
Q8GYT3	55	eligible	within_max_length
Q8GYU3	1465	excluded_length	sequence_exceeds_max_length
Q8GZ22	240	eligible	within_max_length
Q8GZ99	953	eligible	within_max_length
Q8GZM7	478	eligible	within_max_length
Q8H0V5	354	eligible	within_max_length
Q8H0X6	234	eligible	within_max_length
Q8H104	532	eligible	within_max_length
Q8H107	464	eligible	within_max_length
Q8H115	312	eligible	within_max_length
Q8H116	572	eligible	within_max_length
Q8H125	597	eligible	within_max_length
Q8H133	525	eligible	within_max_length
Q8H175	522	eligible	within_max_length
Q8H181	619	eligible	within_max_length
Q8H1B3	675	eligible	within_max_length
Q8H1D2	182	eligible	within_max_length
Q8H1D6	467	eligible	within_max_length
Q8H1D9	605	eligible	within_max_length
Q8H1E4	334	eligible	within_max_length
Q8H1E5	783	eligible	within_max_length
Q8H1F1	562	eligible	within_max_length
Q8H1F2	459	eligible	within_max_length
Q8H1F4	181	eligible	within_max_length
Q8H1G5	404	eligible	within_max_length
Q8H1R4	271	eligible	within_max_length
Q8H1S5	475	eligible	within_max_length
Q8H2D5	672	eligible	within_max_length
Q8H7F6	293	eligible	within_max_length
Q8L3T0	244	eligible	within_max_length
Q8L3Z8	483	eligible	within_max_length
Q8L402	381	eligible	within_max_length
Q8L467	283	eligible	within_max_length
Q8L4H0	500	eligible	within_max_length
Q8L4J2	429	eligible	within_max_length
Q8L4R0	350	eligible	within_max_length
Q8L500	468	eligible	within_max_length
Q8L540	376	eligible	within_max_length
Q8L586	287	eligible	within_max_length
Q8L5R3	1254	excluded_length	sequence_exceeds_max_length
Q8L5W8	416	eligible	within_max_length
Q8L5Y2	471	eligible	within_max_length
Q8L5Y4	1509	excluded_length	sequence_exceeds_max_length
Q8L5Z0	464	eligible	within_max_length
Q8L5Z2	96	eligible	within_max_length
Q8L616	497	eligible	within_max_length
Q8L708	409	eligible	within_max_length
Q8L736	467	eligible	within_max_length
Q8L746	586	eligible	within_max_length
Q8L765	407	eligible	within_max_length
Q8L770	330	eligible	within_max_length
Q8L793	587	eligible	within_max_length
Q8L797	262	eligible	within_max_length
Q8L7A6	73	eligible	within_max_length
Q8L7E2	98	eligible	within_max_length
Q8L7F2	325	eligible	within_max_length
Q8L7G0	665	eligible	within_max_length
Q8L7G2	171	eligible	within_max_length
Q8L7G8	300	eligible	within_max_length
Q8L7H4	709	eligible	within_max_length
Q8L7I1	984	eligible	within_max_length
Q8L7K9	607	eligible	within_max_length
Q8L7L8	578	eligible	within_max_length
Q8L7N4	343	eligible	within_max_length
Q8L7U0	328	eligible	within_max_length
Q8L7U7	229	eligible	within_max_length
Q8L7V8	554	eligible	within_max_length
Q8L7W0	351	eligible	within_max_length
Q8L7W3	878	eligible	within_max_length
Q8L7Y8	1313	excluded_length	sequence_exceeds_max_length
Q8L7Z3	272	eligible	within_max_length
Q8L831	772	eligible	within_max_length
Q8L837	397	eligible	within_max_length
Q8L838	738	eligible	within_max_length
Q8L860	675	eligible	within_max_length
Q8L866	776	eligible	within_max_length
Q8L8A5	210	eligible	within_max_length
Q8L8Q3	159	eligible	within_max_length
Q8L8Z1	190	eligible	within_max_length
Q8L940	309	eligible	within_max_length
Q8L9E3	87	eligible	within_max_length
Q8L9M8	138	eligible	within_max_length
Q8L9Y3	382	eligible	within_max_length
Q8LA96	313	eligible	within_max_length
Q8LAA6	287	eligible	within_max_length
Q8LAD4	188	eligible	within_max_length
Q8LAH7	372	eligible	within_max_length
Q8LAI1	275	eligible	within_max_length
Q8LAK5	88	eligible	within_max_length
Q8LAL2	269	eligible	within_max_length
Q8LAS7	226	eligible	within_max_length
Q8LAW2	372	eligible	within_max_length
Q8LAZ7	357	eligible	within_max_length
Q8LB02	280	eligible	within_max_length
Q8LB17	403	eligible	within_max_length
Q8LB60	221	eligible	within_max_length
Q8LB88	433	eligible	within_max_length
Q8LBB2	424	eligible	within_max_length
Q8LBC0	317	eligible	within_max_length
Q8LBH4	256	eligible	within_max_length
Q8LBK6	169	eligible	within_max_length
Q8LBM2	131	eligible	within_max_length
Q8LBP4	462	eligible	within_max_length
Q8LCG7	199	eligible	within_max_length
Q8LCH5	154	eligible	within_max_length
Q8LCT3	236	eligible	within_max_length
Q8LCY3	106	eligible	within_max_length
Q8LD46	154	eligible	within_max_length
Q8LDI1	222	eligible	within_max_length
Q8S8A0	156	eligible	within_max_length
Q8S8A2	401	eligible	within_max_length
Q8S8E3	215	eligible	within_max_length
Q8S8M9	256	eligible	within_max_length
Q8S8N6	148	eligible	within_max_length
Q8S8Q2	579	eligible	within_max_length
Q8S9G8	801	eligible	within_max_length
Q8S9K8	275	eligible	within_max_length
Q8S9K9	310	eligible	within_max_length
Q8S9L7	317	eligible	within_max_length
Q8SAB7	1830	excluded_length	sequence_exceeds_max_length
Q8VWG7	380	eligible	within_max_length
Q8VWK4	300	eligible	within_max_length
Q8VWQ4	195	eligible	within_max_length
Q8VXU9	278	eligible	within_max_length
Q8VXV7	844	eligible	within_max_length
Q8VXY0	186	eligible	within_max_length
Q8VXZ7	437	eligible	within_max_length
Q8VY07	560	eligible	within_max_length
Q8VY16	819	eligible	within_max_length
Q8VY20	475	eligible	within_max_length
Q8VY21	406	eligible	within_max_length
Q8VY60	178	eligible	within_max_length
Q8VY89	558	eligible	within_max_length
Q8VYB9	840	eligible	within_max_length
Q8VYD2	386	eligible	within_max_length
Q8VYD4	867	eligible	within_max_length
Q8VYF7	238	eligible	within_max_length
Q8VYI1	260	eligible	within_max_length
Q8VYI3	309	eligible	within_max_length
Q8VYJ7	964	eligible	within_max_length
Q8VYK7	121	eligible	within_max_length
Q8VYL4	546	eligible	within_max_length
Q8VYP5	307	eligible	within_max_length
Q8VYQ4	348	eligible	within_max_length
Q8VYR5	444	eligible	within_max_length
Q8VYU8	396	eligible	within_max_length
Q8VYW7	1180	excluded_length	sequence_exceeds_max_length
Q8VZ17	790	eligible	within_max_length
Q8VZ22	301	eligible	within_max_length
Q8VZ24	287	eligible	within_max_length
Q8VZ38	299	eligible	within_max_length
Q8VZ73	296	eligible	within_max_length
Q8VZ95	256	eligible	within_max_length
Q8VZD5	410	eligible	within_max_length
Q8VZG8	1045	excluded_length	sequence_exceeds_max_length
Q8VZI3	281	eligible	within_max_length
Q8VZJ1	379	eligible	within_max_length
Q8VZK0	267	eligible	within_max_length
Q8VZK4	185	eligible	within_max_length
Q8VZM9	159	eligible	within_max_length
Q8VZP6	497	eligible	within_max_length
Q8VZR8	496	eligible	within_max_length
Q8VZS8	221	eligible	within_max_length
Q8VZT3	462	eligible	within_max_length
Q8VZU2	304	eligible	within_max_length
Q8VZW1	296	eligible	within_max_length
Q8W0Z6	613	eligible	within_max_length
Q8W115	209	eligible	within_max_length
Q8W117	511	eligible	within_max_length
Q8W234	877	eligible	within_max_length
Q8W245	364	eligible	within_max_length
Q8W2F3	430	eligible	within_max_length
Q8W420	611	eligible	within_max_length
Q8W470	111	eligible	within_max_length
Q8W490	470	eligible	within_max_length
Q8W497	589	eligible	within_max_length
Q8W4A3	253	eligible	within_max_length
Q8W4I4	782	eligible	within_max_length
Q8W4I7	528	eligible	within_max_length
Q8W4J8	267	eligible	within_max_length
Q8W4J9	908	eligible	within_max_length
Q8W4K5	498	eligible	within_max_length
Q8W4N1	563	eligible	within_max_length
Q8W4P1	513	eligible	within_max_length
Q8W4S5	614	eligible	within_max_length
Q8W575	429	eligible	within_max_length
Q8W5B1	440	eligible	within_max_length
Q93V43	365	eligible	within_max_length
Q93V47	100	eligible	within_max_length
Q93V56	212	eligible	within_max_length
Q93V62	250	eligible	within_max_length
Q93V99	743	eligible	within_max_length
Q93VA8	350	eligible	within_max_length
Q93VB4	418	eligible	within_max_length
Q93VH1	280	eligible	within_max_length
Q93VH5	287	eligible	within_max_length
Q93VK7	178	eligible	within_max_length
Q93VP3	159	eligible	within_max_length
Q93VP9	411	eligible	within_max_length
Q93VQ5	216	eligible	within_max_length
Q93VQ7	136	eligible	within_max_length
Q93VT9	220	eligible	within_max_length
Q93VV0	286	eligible	within_max_length
Q93W05	139	eligible	within_max_length
Q93W30	109	eligible	within_max_length
Q93W87	202	eligible	within_max_length
Q93W92	164	eligible	within_max_length
Q93WB2	220	eligible	within_max_length
Q93WB5	153	eligible	within_max_length
Q93WB8	321	eligible	within_max_length
Q93WC4	251	eligible	within_max_length
Q93WJ9	403	eligible	within_max_length
Q93WU6	330	eligible	within_max_length
Q93WY4	218	eligible	within_max_length
Q93XM6	481	eligible	within_max_length
Q93XN8	423	eligible	within_max_length
Q93XW9	306	eligible	within_max_length
Q93XX0	347	eligible	within_max_length
Q93XX5	426	eligible	within_max_length
Q93XY0	60	eligible	within_max_length
Q93XY2	264	eligible	within_max_length
Q93XY4	302	eligible	within_max_length
Q93XY9	123	eligible	within_max_length
Q93YN0	187	eligible	within_max_length
Q93YP9	488	eligible	within_max_length
Q93YQ1	1344	excluded_length	sequence_exceeds_max_length
Q93YS8	394	eligible	within_max_length
Q93YT1	912	eligible	within_max_length
Q93YU2	497	eligible	within_max_length
Q93YW4	532	eligible	within_max_length
Q93Z00	489	eligible	within_max_length
Q93Z08	477	eligible	within_max_length
Q93Z27	204	eligible	within_max_length
Q93Z30	459	eligible	within_max_length
Q93Z51	196	eligible	within_max_length
Q93Z81	459	eligible	within_max_length
Q93Z92	390	eligible	within_max_length
Q93ZB7	620	eligible	within_max_length
Q93ZF6	153	eligible	within_max_length
Q93ZH7	461	eligible	within_max_length
Q93ZJ3	100	eligible	within_max_length
Q93ZJ9	605	eligible	within_max_length
Q93ZM9	197	eligible	within_max_length
Q93ZQ3	384	eligible	within_max_length
Q93ZQ9	312	eligible	within_max_length
Q93ZT2	154	eligible	within_max_length
Q93ZT6	780	eligible	within_max_length
Q93ZV8	605	eligible	within_max_length
Q93ZX1	339	eligible	within_max_length
Q93ZY2	548	eligible	within_max_length
Q940C2	360	eligible	within_max_length
Q940D0	690	eligible	within_max_length
Q940G3	127	eligible	within_max_length
Q940G6	344	eligible	within_max_length
Q940H6	362	eligible	within_max_length
Q940H8	532	eligible	within_max_length
Q940I0	439	eligible	within_max_length
Q940I8	394	eligible	within_max_length
Q940J1	294	eligible	within_max_length
Q940J7	140	eligible	within_max_length
Q940P5	221	eligible	within_max_length
Q940T0	417	eligible	within_max_length
Q940T9	362	eligible	within_max_length
Q940U5	297	eligible	within_max_length
Q940U6	316	eligible	within_max_length
Q940V1	447	eligible	within_max_length
Q940V4	465	eligible	within_max_length
Q940X7	118	eligible	within_max_length
Q940Y1	721	eligible	within_max_length
Q940Y5	619	eligible	within_max_length
Q940Y6	471	eligible	within_max_length
Q940Z1	316	eligible	within_max_length
Q941C0	105	eligible	within_max_length
Q941C9	369	eligible	within_max_length
Q941D1	149	eligible	within_max_length
Q941L0	1065	excluded_length	sequence_exceeds_max_length
Q941L2	192	eligible	within_max_length
Q944A6	487	eligible	within_max_length
Q944G5	636	eligible	within_max_length
Q944H1	388	eligible	within_max_length
Q944J2	401	eligible	within_max_length
Q944K2	437	eligible	within_max_length
Q944N8	418	eligible	within_max_length
Q944Q0	563	eligible	within_max_length
Q945F0	543	eligible	within_max_length
Q945K9	247	eligible	within_max_length
Q945M1	117	eligible	within_max_length
Q945M9	303	eligible	within_max_length
Q945P2	195	eligible	within_max_length
Q945P6	245	eligible	within_max_length
Q945P7	294	eligible	within_max_length
Q945Q1	101	eligible	within_max_length
Q945S8	363	eligible	within_max_length
Q946Y7	245	eligible	within_max_length
Q949M4	924	eligible	within_max_length
Q949M9	353	eligible	within_max_length
Q949S3	202	eligible	within_max_length
Q949U4	572	eligible	within_max_length
Q949U7	234	eligible	within_max_length
Q949V0	357	eligible	within_max_length
Q949V7	459	eligible	within_max_length
Q949Y0	482	eligible	within_max_length
Q94A20	256	eligible	within_max_length
Q94A21	318	eligible	within_max_length
Q94A76	820	eligible	within_max_length
Q94AA3	333	eligible	within_max_length
Q94AA4	489	eligible	within_max_length
Q94AC3	379	eligible	within_max_length
Q94AG2	625	eligible	within_max_length
Q94AH8	860	eligible	within_max_length
Q94AI4	775	eligible	within_max_length
Q94AI7	1131	excluded_length	sequence_exceeds_max_length
Q94AJ5	444	eligible	within_max_length
Q94AK6	110	eligible	within_max_length
Q94AN4	345	eligible	within_max_length
Q94AQ0	427	eligible	within_max_length
Q94AT3	378	eligible	within_max_length
Q94AU3	330	eligible	within_max_length
Q94AU9	174	eligible	within_max_length
Q94AW9	241	eligible	within_max_length
Q94AX2	277	eligible	within_max_length
Q94AZ4	148	eligible	within_max_length
Q94AZ5	272	eligible	within_max_length
Q94AZ8	88	eligible	within_max_length
Q94B55	456	eligible	within_max_length
Q94B65	323	eligible	within_max_length
Q94B75	326	eligible	within_max_length
Q94BM7	794	eligible	within_max_length
Q94BN0	364	eligible	within_max_length
Q94BN2	359	eligible	within_max_length
Q94BQ3	757	eligible	within_max_length
Q94BR1	702	eligible	within_max_length
Q94BS7	447	eligible	within_max_length
Q94BT6	609	eligible	within_max_length
Q94BT9	76	eligible	within_max_length
Q94BU8	185	eligible	within_max_length
Q94BV4	528	eligible	within_max_length
Q94BX4	447	eligible	within_max_length
Q94BY2	146	eligible	within_max_length
Q94BY8	325	eligible	within_max_length
Q94BZ6	405	eligible	within_max_length
Q94C25	452	eligible	within_max_length
Q94C27	351	eligible	within_max_length
Q94C33	521	eligible	within_max_length
Q94C65	221	eligible	within_max_length
Q94C69	301	eligible	within_max_length
Q94CC9	138	eligible	within_max_length
Q94CE4	280	eligible	within_max_length
Q94CH8	375	eligible	within_max_length
Q94CI7	474	eligible	within_max_length
Q94CK0	480	eligible	within_max_length
Q94CK1	376	eligible	within_max_length
Q94CK3	167	eligible	within_max_length
Q94EI3	245	eligible	within_max_length
Q94EI9	340	eligible	within_max_length
Q94F00	371	eligible	within_max_length
Q94F08	696	eligible	within_max_length
Q94F39	231	eligible	within_max_length
Q94F58	340	eligible	within_max_length
Q94F62	615	eligible	within_max_length
Q94FB9	1337	excluded_length	sequence_exceeds_max_length
Q94HV7	338	eligible	within_max_length
Q94JM3	859	eligible	within_max_length
Q94JQ6	1084	excluded_length	sequence_exceeds_max_length
Q94JQ7	144	eligible	within_max_length
Q94JR1	542	eligible	within_max_length
Q94JU3	260	eligible	within_max_length
Q94JV1	562	eligible	within_max_length
Q94JX9	217	eligible	within_max_length
Q94JY4	85	eligible	within_max_length
Q94K05	549	eligible	within_max_length
Q94K07	374	eligible	within_max_length
Q94K18	103	eligible	within_max_length
